config,name,arrival_rate,slo,avg_scheduler_runtime,avg,eff
"{'label': 'arrival_rate::0.01:0.033', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.033', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.01:0.033', '--log=arrival_rate::0.01:0.033.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.033.csv'], 'arrival_rate': 0.043000000000000003}",DSched,0.043000000000000003,0.635,2080791.8513396715,59.3716705705282,48.281593716193974
"{'label': 'arrival_rate::0.01:0.033', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.033', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.01:0.033', '--log=arrival_rate::0.01:0.033.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.033.csv'], 'arrival_rate': 0.043000000000000003}",DSched-noopt,0.043000000000000003,0.599,7356442.565600882,55.91810714453695,45.01795522317859
"{'label': 'arrival_rate::0.01:0.0345', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0345', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.01:0.0345', '--log=arrival_rate::0.01:0.0345.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0345.csv'], 'arrival_rate': 0.044500000000000005}",DSched,0.044500000000000005,0.627,1989516.7171717172,56.78328127804703,46.65898270177328
"{'label': 'arrival_rate::0.01:0.0345', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0345', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.01:0.0345', '--log=arrival_rate::0.01:0.0345.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0345.csv'], 'arrival_rate': 0.044500000000000005}",DSched-noopt,0.044500000000000005,0.6,7054157.114917127,54.91095378452935,43.944742281676305
"{'label': 'arrival_rate::0.01:0.0385', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0385', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.01:0.0385', '--log=arrival_rate::0.01:0.0385.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0385.csv'], 'arrival_rate': 0.0485}",DSched,0.0485,0.569,1853180.2493551162,54.76065669019074,42.1783944109061
"{'label': 'arrival_rate::0.01:0.0385', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0385', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.01:0.0385', '--log=arrival_rate::0.01:0.0385.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0385.csv'], 'arrival_rate': 0.0485}",DSched-noopt,0.0485,0.528,6947341.306358381,51.6748414767789,38.3373026489816
"{'label': 'arrival_rate::0.01:0.015', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.015', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.01:0.015', '--log=arrival_rate::0.01:0.015.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.015.csv'], 'arrival_rate': 0.025}",DSched,0.025,0.961,1491622.907957814,63.51211492069236,62.09131664254267
"{'label': 'arrival_rate::0.01:0.015', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.015', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.01:0.015', '--log=arrival_rate::0.01:0.015.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.015.csv'], 'arrival_rate': 0.025}",DSched-noopt,0.025,0.899,6275805.464951198,60.74404927215022,57.14016419024357
"{'label': 'arrival_rate::0.015:0.014', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.015,0.014', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.015:0.014', '--log=arrival_rate::0.015:0.014.log', '--log_level=debug', '--csv=arrival_rate::0.015:0.014.csv'], 'arrival_rate': 0.028999999999999998}",DSched,0.028999999999999998,0.959,1246927.7208413002,59.26315072249763,57.95659628027986
"{'label': 'arrival_rate::0.015:0.014', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.015,0.014', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.015:0.014', '--log=arrival_rate::0.015:0.014.log', '--log_level=debug', '--csv=arrival_rate::0.015:0.014.csv'], 'arrival_rate': 0.028999999999999998}",DSched-noopt,0.028999999999999998,0.895,6429412.251277683,56.14046577365257,52.970598319445905
"{'label': 'arrival_rate::0.014:0.025', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.014,0.025', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched/arrival_rate::0.014:0.025', '--log=arrival_rate::0.014:0.025.log', '--log_level=debug', '--csv=arrival_rate::0.014:0.025.csv'], 'arrival_rate': 0.039}",DSched,0.039,0.672,2089809.6576182137,83.93254570191712,68.81965640074212
"{'label': 'arrival_rate::0.014:0.025', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=50', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--scheduler_time_limit=120', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.014,0.025', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched+tighter-deadlines/DSched-noopt/arrival_rate::0.014:0.025', '--log=arrival_rate::0.014:0.025.log', '--log_level=debug', '--csv=arrival_rate::0.014:0.025.csv'], 'arrival_rate': 0.039}",DSched-noopt,0.039,0.654,7248031.63626943,79.5240317354309,66.37868432769368
